"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"1141",1415024755933,"old",TRUE,"B",FALSE,1750,TRUE,0,1,1,1,5,"0111",72,"ms","05"
"1142",1415024758436,"old",TRUE,"B",TRUE,2515,TRUE,1,1,0,0,6,"1100",72,"ms","05"
"1143",1415024761717,"old",TRUE,"A",TRUE,2137,TRUE,1,0,1,1,7,"1011",72,"ms","05"
"1144",1415024764607,"old",TRUE,"B",TRUE,2067,TRUE,0,0,0,1,8,"0001",72,"ms","05"
"1145",1415024767435,"old",TRUE,"A",TRUE,2058,TRUE,1,1,1,0,9,"1110",72,"ms","05"
"1146",1415024770245,"old",FALSE,"B",NA,2357,FALSE,0,1,0,0,10,"0100",72,"ms","05"
"1147",1415024773367,"old",FALSE,"A",NA,2007,FALSE,0,0,1,1,11,"0011",72,"ms","05"
"1148",1415024776135,"old",TRUE,"B",TRUE,1308,TRUE,0,0,0,0,12,"0000",72,"ms","05"
"1149",1415024778209,"old",TRUE,"A",TRUE,1545,TRUE,1,0,1,0,13,"1010",72,"ms","05"
"1150",1415024780513,"old",TRUE,"B",FALSE,1552,TRUE,1,1,0,1,14,"1101",72,"ms","05"
"1151",1415024782822,"old",FALSE,"A",NA,1385,FALSE,1,0,0,1,15,"1001",72,"ms","05"
"1152",1415024784968,"old",TRUE,"B",TRUE,1623,TRUE,0,1,1,0,16,"0110",72,"ms","05"
"1153",1415024803939,"old",FALSE,"B",NA,4792,FALSE,0,0,1,1,1,"0011",73,"ms","05"
"1154",1415024809482,"old",FALSE,"B",NA,5515,FALSE,0,1,0,0,2,"0100",73,"ms","05"
"1155",1415024815747,"old",TRUE,"A",FALSE,5313,TRUE,1,1,0,0,3,"1100",73,"ms","05"
"1156",1415024821810,"old",FALSE,"A",NA,3424,FALSE,0,1,0,1,4,"0101",73,"ms","05"
"1157",1415024825985,"old",TRUE,"B",FALSE,2466,TRUE,1,1,1,0,5,"1110",73,"ms","05"
